 # &SUB apertr  0.3                                                              
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    68  0.3400E+00  0.0000E+00  0.2138E-03  0.1421E-03  0.9731E-11 -0.8291E+00  0.6976E-01  0.1818E-01  0.1013E+00  0.3118E+00 -0.8889E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1250E-02  0.1458E-02  0.5577E-10  0.8841E+00  0.4127E-07  0.1351E-02  0.6995E-04  0.4775E-04  0.3656E-02 -0.7358E-02  0.4776E-01  0.4587E-03
    70  0.3500E+00  0.0000E+00  0.2114E-03  0.1509E-03  0.1010E-10 -0.6489E+00  0.6856E-01  0.1541E-01  0.1304E+00  0.3087E+00 -0.9194E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.9667E-03  0.1495E-02  0.5828E-10  0.8961E+00  0.4335E-07  0.1391E-02  0.3971E-04  0.3804E-04 -0.2821E-02 -0.1023E-01  0.2963E-01  0.2778E-03
    72  0.3600E+00  0.0000E+00  0.2078E-03  0.1600E-03  0.1028E-10 -0.5655E+00  0.6732E-01  0.1419E-01 -0.1166E-01  0.3102E+00 -0.9533E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.8282E-03  0.1526E-02  0.6089E-10  0.9222E+00  0.4423E-07  0.1422E-02  0.1164E-04  0.6070E-04 -0.7133E-02 -0.3091E-02  0.2477E-01  0.2138E-03
    74  0.3700E+00  0.0000E+00  0.2048E-03  0.1701E-03  0.1061E-10 -0.6637E+00  0.6602E-01  0.1562E-01 -0.1148E+00  0.3062E+00 -0.9941E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.9593E-03  0.1573E-02  0.6364E-10  0.9356E+00  0.4600E-07  0.1471E-02  0.2994E-04  0.1053E-03  0.4968E-03  0.2263E-02  0.3666E-01  0.3229E-03
    76  0.3800E+00  0.0000E+00  0.2021E-03  0.1804E-03  0.1092E-10 -0.7716E+00  0.6467E-01  0.1713E-01 -0.3662E-01  0.3055E+00 -0.1045E+01  0.1000E+04  0.1000E+04  0.1000E+04 -0.1101E-02  0.1619E-02  0.6659E-10  0.9625E+00  0.4695E-07  0.1517E-02  0.8697E-04  0.9509E-04  0.7128E-02 -0.5311E-02  0.4377E-01  0.4165E-03
    78  0.3900E+00  0.0000E+00  0.1987E-03  0.1931E-03  0.1124E-10 -0.7181E+00  0.6326E-01  0.1635E-01  0.9306E-01  0.3014E+00 -0.1088E+01  0.1000E+04  0.1000E+04  0.1000E+04 -0.1006E-02  0.1674E-02  0.6975E-10  0.1000E+01  0.4799E-07  0.1571E-02  0.8518E-04  0.2990E-04 -0.1026E-02 -0.1130E-01  0.3666E-01  0.3345E-03
    80  0.4000E+00  0.0000E+00  0.1944E-03  0.3326E-03  0.2590E-10 -0.5714E+00  0.6175E-01  0.1429E-01  0.8399E-01  0.2149E+00 -0.5240E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.7825E-03  0.3459E-02  0.7320E-10 -0.3494E+00  0.4369E-09  0.1810E-02  0.1273E-04  0.2925E-04 -0.4900E-03  0.1390E-03  0.7439E-02  0.6241E-04
    82  0.4100E+00  0.0000E+00  0.1906E-03  0.3539E-03  0.2621E-10 -0.5417E+00  0.6020E-01  0.1387E-01 -0.4673E-01  0.2095E+00 -0.5762E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.7291E-03  0.3483E-02  0.7695E-10 -0.3440E+00  0.4315E-09  0.1873E-02  0.1789E-04  0.1098E-03 -0.3471E-03  0.4030E-03  0.8370E-02  0.7415E-04
    84  0.4200E+00  0.0000E+00  0.1868E-03  0.3746E-03  0.2645E-10 -0.6494E+00  0.5854E-01  0.1531E-01 -0.7626E-01  0.2050E+00 -0.6397E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.8576E-03  0.3512E-02  0.8110E-10 -0.3091E+00  0.3829E-09  0.1935E-02  0.9807E-04  0.1045E-03 -0.6855E-03  0.3322E-04  0.9237E-02  0.8636E-04
    86  0.4300E+00  0.0000E+00  0.1822E-03  0.4025E-03  0.2665E-10 -0.6610E+00  0.5679E-01  0.1543E-01  0.4444E-01  0.1980E+00 -0.7025E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.8498E-03  0.3552E-02  0.8587E-10 -0.3013E+00  0.3839E-09  0.2021E-02  0.9864E-04  0.2670E-04 -0.2688E-02 -0.5895E-04  0.8050E-02  0.7156E-04
    88  0.4400E+00  0.0000E+00  0.1772E-03  0.4375E-03  0.2693E-10 -0.5442E+00  0.5489E-01  0.1390E-01  0.7317E-01  0.1896E+00 -0.7774E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.6794E-03  0.3608E-02  0.9154E-10 -0.3174E+00  0.4349E-09  0.2136E-02  0.3148E-04  0.9649E-05 -0.1835E-02  0.3040E-02  0.6494E-02  0.5258E-04
    90  0.4500E+00  0.0000E+00  0.1716E-03  0.4388E-03  0.2484E-10 -0.4935E+00  0.5288E-01  0.1331E-01 -0.9830E-02  0.1662E+00 -0.8074E+00  0.9980E+03  0.9980E+03  0.9980E+03 -0.5977E-03  0.3642E-02  0.9007E-10 -0.3323E+00  0.4919E-09  0.2209E-02  0.1769E-04  0.8966E-04 -0.6496E-03 -0.3516E-03  0.8410E-02  0.6730E-04
    92  0.4600E+00  0.0000E+00  0.1646E-03  0.4828E-03  0.2458E-10 -0.5349E+00  0.5063E-01  0.1386E-01 -0.4203E-01  0.1570E+00 -0.9166E+00  0.9980E+03  0.9980E+03  0.9980E+03 -0.6219E-03  0.3733E-02  0.9717E-10 -0.3188E+00  0.4642E-09  0.2378E-02  0.9246E-04  0.7666E-04 -0.2859E-02  0.2958E-02  0.7125E-02  0.6237E-04
    94  0.4700E+00  0.0000E+00  0.1575E-03  0.5019E-03  0.2306E-10 -0.5418E+00  0.4824E-01  0.1400E-01  0.2573E-01  0.1393E+00 -0.9651E+00  0.9930E+03  0.9930E+03  0.9930E+03 -0.6010E-03  0.3791E-02  0.9948E-10 -0.3019E+00  0.4390E-09  0.2473E-02  0.6967E-04  0.4778E-04  0.1362E-02  0.5708E-04  0.1065E-01  0.8014E-04
    96  0.4800E+00  0.0000E+00  0.1492E-03  0.5461E-03  0.2220E-10 -0.4407E+00  0.4543E-01  0.1294E-01  0.4265E-01  0.1250E+00 -0.1070E+01  0.9870E+03  0.9870E+03  0.9870E+03 -0.4636E-03  0.3898E-02  0.1064E-09 -0.2921E+00  0.3934E-09  0.2649E-02  0.7878E-04  0.5829E-04 -0.4066E-02  0.4749E-03  0.8621E-02  0.6845E-04
    98  0.4900E+00  0.0000E+00  0.1397E-03  0.5742E-03  0.2020E-10 -0.4040E+00  0.4226E-01  0.1265E-01 -0.2619E-02  0.1034E+00 -0.1183E+01  0.9700E+03  0.9700E+03  0.9700E+03 -0.3975E-03  0.4045E-02  0.1095E-09 -0.3024E+00  0.3579E-09  0.2865E-02  0.4713E-04  0.6076E-04 -0.1033E-03  0.2068E-02  0.7790E-02  0.6002E-04
   100  0.5000E+00  0.0000E+00  0.1318E-03  0.5523E-03  0.1740E-10 -0.4191E+00  0.3921E-01  0.1292E-01 -0.2187E-01  0.7885E-01 -0.1196E+01  0.9140E+03  0.9140E+03  0.9140E+03 -0.3897E-03  0.4133E-02  0.1039E-09 -0.2993E+00  0.3523E-09  0.2921E-02  0.6331E-04  0.5978E-04 -0.2409E-02  0.2423E-02  0.9358E-02  0.6891E-04
